
Matthew 
1:1	A roll of the birth of Jesus Christ, son of David, son of Abraham. 
17:7	and the messenger said to me, 'Wherefore didst thou wonder? I -- I will tell thee the secret of the woman and of the beast that is carrying her, which hath the seven heads and the ten horns. 
17:8	'The beast that thou didst see: it was, and it is not; and it is about to come up out of the abyss, and to go away to destruction, and wonder shall those dwelling upon the earth, whose names have not been written upon the scroll of the life from the foundation of the world, beholding the beast that was, and is not, although it is. 
17:9	'Here is the mind that is having wisdom; the seven heads are seven mountains, upon which the woman doth sit, 
17:10	and there are seven kings, the five did fall, and the one is, the other did not yet come, and when he may come, it behoveth him to remain a little time; 
17:11	and the beast that was, and is not, he also is eighth, and out of the seven he is, and to destruction he doth go away. 
17:12	'And the ten horns that thou sawest, are ten kings, who a kingdom did not yet receive, but authority as kings the same hour do receive with the beast, 
17:13	these have one mind, and their own power and authority to the beast they shall give over; 
17:14	these with the Lamb shall make war, and the Lamb shall overcome them, because Lord of lords he is, and King of kings, and those with him are called, and choice, and stedfast.' 
17:15	And he saith to me, 'The waters that thou didst see, where the whore doth sit, are peoples, and multitudes, and nations, and tongues;' 
17:16	and the ten horns that thou didst see upon the beast, these shall hate the whore, and shall make her desolate and naked, and shall eat her flesh, and shall burn her in fire, 
17:17	for God did give into their hearts to do its mind, and to make one mind, and to give their kingdom to the beast till the sayings of God may be complete, 
17:18	and the woman that thou didst see is the great city that is having reign over the kings of the land.' 
18:1	And after these things I saw another messenger coming down out of the heaven, having great authority, and the earth was lightened from his glory, 
18:2	and he did cry in might -- a great voice, saying, 'Fall, fall did Babylon the great, and she became a habitation of demons, and a hold of every unclean spirit, and a hold of every unclean and hateful bird, 
18:3	because of the wine of the wrath of her whoredom have all the nations drunk, and the kings of the earth with her did commit whoredom, and merchants of the earth from the power of her revel were made rich. 
18:4	And I heard another voice out of the heaven, saying, 'Come forth out of her, My people, that ye may not partake with her sins, and that ye may not receive of her plagues, 
18:5	because her sins did follow -- unto the heaven, and God did remember her unrighteousness. 
18:6	Render to her as also she did render to you, and double to her doubles according to her works; in the cup that she did mingle mingle to her double. 
18:7	'As much as she did glorify herself and did revel, so much torment and sorrow give to her, because in her heart she saith, I sit a queen, and a widow I am not, and sorrow I shall not see; 
18:8	because of this, in one day, shall come her plagues, death, and sorrow, and famine; and in fire she shall be utterly burned, because strong is the Lord God who is judging her; 
18:9	and weep over her, and smite themselves for her, shall the kings of the earth, who with her did commit whoredom and did revel, when they may see the smoke of her burning, 
18:10	from afar having stood because of the fear of her torment, saying, Wo, wo, the great city! Babylon, the strong city! because in one hour did come thy judgment. 
18:11	'And the merchants of the earth shall weep and sorrow over her, because their lading no one doth buy any more; 
18:12	lading of gold, and silver, and precious stone, and pearl, and fine linen, and purple, and silk, and scarlet, and all thyne wood, and every vessel of ivory, and every vessel of most precious wood, and brass, and iron, and marble, 
18:13	and cinnamon, and odours, and ointment, and frankincense, and wine, and oil, and fine flour, and wheat, and cattle, and sheep, and of horses, and of chariots, and of bodies and souls of men. 
18:14	'And the fruits of the desire of thy soul did go away from thee, and all things -- the dainty and the bright -- did go away from thee, and no more at all may thou find them. 
18:15	The merchants of these things, who were made rich by her, far off shall stand because of the fear of her torment, weeping, and sorrowing, 
18:16	and saying, Wo, wo, the great city, that was arrayed with fine linen, and purple, and scarlet, and gilded in gold, and precious stone, and pearls -- because in one hour so much riches were made waste! 
18:17	'And every shipmaster, and all the company upon the ships, and sailors, and as many as work the sea, far off stood, 
18:18	and were crying, seeing the smoke of her burning, saying, What city is like to the great city? 
18:19	and they did cast dust upon their heads, and were crying out, weeping and sorrowing, saying, Wo, wo, the great city! in which were made rich all having ships in the sea, out of her costliness -- for in one hour was she made waste. 
